,model,shape,size,dimensions,height,price,top,top_1,top_2,top_3,notes,pad
152,,,Additional cost for base in a specialist finish:,,,,,,1210,,,
153,,,,,,,,,,,,
154,,,Additional cost for base in bronze:,,,,,,4170,,,
155,,,glass bonded to a bronze plate,,,,,,,,,
156,Avalon wood or marble top ,,,,,,,,,,,
157, Rectangular,,Size ,Dimensions,,,,Wood Top,Marble Top ,,,
158,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
159,,,S,190 x 100,,,,6530,8560,,,
160,,,M,220 x 100  ,,,,7510,9840,,,
161,,,L,250 x 100 ,,,,8410,11310,,,
162,,,XL,300 x 110,,,,10800,14140,,,
163,,,,,,,,,,,,
164,,,Prices above are for a steel base with a standard finish,,,,,,,,,
165,,,,,,,,,,,,
166,,,,,,,,,,,,
167,,,,,,,,,,,,
168,,,Additional cost for base in a specialist finish:,,,,,,1210,,,
169,,,,,,,,,,,,
170,,,Additional cost for base in bronze:,,,,,,4170,,,
171,,,,,,,,,,,,
172,Avebury wood or marble top,,,,,,,,,,,
173,Oval,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
174,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
175,,,S,190 x 110,,,,7260,9510,,,
176,,,M,220 x 120,,,,8350,10940,,,
177,,,L,250 x 120 ,,,,9610,12570,,,
178,,,XL,300 x 140,,,,12000,15720,,,
179,,,,,,,,,,,,
180,,,Prices above are with a steel base with a standard finish,,,,,,,,,
181,,,,,,,,,,,,
182,,,,,,,,,,,,
183,,,Additional cost for base in specialist finish:,,,,,,760,,,
184,,,,,,,,,,,,
185,,,,,,,,,,,,
186,,,Additional cost for base in bronze:,,,,,,3130,,,
187,,,,,,,,,,,,
188,,,,,,,,,,,,
189,Capricorn glass top,,,,,,,,,,,
190, Rectangular,,Size ,Dimensions,,,, Glass Top,,,,
191,,,,CMs (H75),,,,,,,,
192,,,S,190 x 100,,,,4510,,,,
193,,,M,220 x 100  ,,,,5180,,,,
194,,,L,250 x 100 ,,,,5960,,,,
195,,,XL,300 x 110 ,,,,7160,,,,
196,,,,,,,,,,,,
197,,,Prices above are with a steel base with a standard finish,,,,,,,,,
198,,,,,,,,,,,,
199,,,,,,,,,,,,
200,,,Additional cost for base in a specialist finish:,,,,,,,840,,
201,,,,,,,,,,,,
202,,,,,,,,,,,,
203,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,2940,,
204,,,,,,,,,,,,
205,,,,,,,,,,,,
206,,,"Add. cost for a steel, brass or bronze top plate: ",,,,,,,700,,
207,,,,,,,,,,,,
208,,,,,,,,,,,,
209,,,,,,,,,,,,
210,Capricorn wood or marble top ,,,,,,,,,,,
211, Rectangular,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
212,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
213,,,S,190 x 100,,,,6530,8560,,,
214,,,M,220 x 100  ,,,,7510,9840,,,
215,,,L,250 x 100 ,,,,8640,11310,,,
216,,,XL,300 x 110 ,,,,10800,14140,,,
217,,,,,,,,,,,,
218,,,Prices above are with a steel base with a standard finish,,,,,,,,,
219,,,,,,,,,,,,
220,,,,,,,,,,,,
221,,,Additional cost for base in a specialist finish:,,,,,,,840,,
222,,,,,,,,,,,,
223,,,,,,,,,,,,
224,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,2940,,
225,,,,,,,,,,,,
226,Capricorn glass top ,,,,,,,,,,,
227,Oval ,,Size ,Dimensions,,,, Glass Top,  ,,,
228,,,,CMs (H75),,,,,,,,
229,,,S,190 x110,,,,4910,,,,
230,,,M,220 x 120,,,,5650,,,,
231,,,L,250 x 120,,,,6490,,,,
232,,,XL,300 x 140,,,,8110,,,,
233,,,,,,,,,,,,
234,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
235,,,,,,,,,,,,
236,,,,,,,,,,,,
237,,,Additional cost for base in a specialist finish:,,,,,,,840,,
238,,,,,,,,,,,,
239,,,,,,,,,,,,
240,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,2940,,
241,,,,,,,,,,,,
242,,,"Add. cost for a steel, brass or bronze top plate: ",,,,,,,700,,
243,,,,,,,,,,,,
244,,,,,,,,,,,,
245,Capricorn wood or marble top ,,,,,,,,,,,
246,Oval ,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
247,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
248,,,S,190 x110,,,,7110,9320,,,
249,,,M,220 x 120,,,,8180,10720,,,
250,,,L,250 x 120,,,,9410,12320,,,
251,,,XL,300 x 140,,,,11750,15400,,,
252,,,,,,,,,,,,
253,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
254,,,,,,,,,,,,
255,,,,,,,,,,,,
256,,,Additional cost for base in a specialist finish:,,,,,,,840,,
257,,,,,,,,,,,,
258,,,,,,,,,,,,
259,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,2940,,
260,,,,,,,,,,,,
261,,,,,,,,,,,,
262,Capricorn glass top ,,,,,,,,,,,
263, Round ,,Size ,Dimensions,,,, Glass Top,,,,
264,,,,CMs (H75),,,,,,,,
265,,,S,100 D,,,,3110,,,,
266,,,M,120 D,,,,3570,,,,
267,,,L,150 D,,,,4460,,,,
268,,,XL,170 D ,,,,5130,,,,
269,,,,,,,,,,,,
270,,,Prices above are with a steel base with a standard finish,,,,,,,,,
271,,,,,,,,,,,,
272,,,,,,,,,,,,
273,,,Additional cost for base in a specialist finish:,,,,,,,840,,
274,,,,,,,,,,,,
275,,,,,,,,,,,,
276,,,Additional cost for base in Hand-polished Stainless Steel: ,,,,,,,2940,,
277,,,,,,,,,,,,
278,,,"Add. cost for a steel, brass or bronze top plate: ",,,,,,,700,,
279,,,,,,,,,,,,
280,,,,,,,,,,,,
281,Capricorn wood or marble top ,,,,,,,,,,,
282, Round ,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
283,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
284,,,S,100 D,,,,4500,5900,,,
285,,,M,120 D,,,,5180,6780,,,
286,,,L,150 D,,,,6470,8480,,,
287,,,XL,170 D ,,,,7440,9750,,,
288,,,,,,,,,,,,
289,,,Prices above are with a steel base with a standard finish,,,,,,,,,
290,,,,,,,,,,,,
291,,,,,,,,,,,,
292,,,Additional cost for base in a specialist finish:,,,,,,,840,,
293,,,,,,,,,,,,
294,,,,,,,,,,,,
295,,,Additional cost for base in Hand-polished Stainless Steel: ,,,,,,,2940,,
296,,,,,,,,,,,,
297,,,,,,,,,,,,
298,,,,,,,,,,,,
299,Echo glass top ,,,,,,,,,,,
300, Rectangular,,Size ,Dimensions,,,, Glass Top,,,,
301,,,,CMs (H75),,,,,,,,
302,,,S,190 x 100,,,,4010,,,,
303,,,M,220 x 100  ,,,,4610,,,,
304,,,L,250 x 100 ,,,,5300,,,,
305,,,XL,300 x 110 ,,,,6620,,,,
306,,,,,,,,,,,,
307,,,,,,,,,,,,
308,,,Prices above are with a steel base with a standard finish:,,,,,,,,,
309,,,,,,,,,,,,
310,,,Additional cost for base in a specialist finish:,,,,,,760,,,
311,,,,,,,,,,,,
312,Echo wood or marble top ,,,,,,,,,,,
313, Rectangular,,Size ,Dimensions,,,,Wood Top ,Marble Top ,,,
314,,,,CMs (H75),,,,,,,,
315,,,S,190 x 100,,,,5810,7610,,,
316,,,M,220 x 100  ,,,,6680,8750,,,
317,,,L,250 x 100 ,,,,7680,10060,,,
318,,,XL,300 x 110 ,,,,9600,12570,,,
319,,,,,,,,,,,,
320,,,,,,,,,,,,
321,,,Prices above are with a steel base with a standard finish:,,,,,,,,,
322,,,,,,,,,,,,
323,,,Additional cost for base in a specialist finish:,,,,,,760,,,
324,,,,,,,,,,,,
325,,,,,,,,,,,,
326,,,,,,,,,,,,
327,,,,,,,,,,,,
328,Edge,,,,,,,,,,,
329, Rectangular,,Size ,Dimensions,,,, Glass Top  ,,,,
330,,,,CMs (H75),,,,,,,,
331,,,S,190 x 100,,,,4010,,,,
332,,,M,220 x 100  ,,,,4610,,,,
333,,,L,250 x 100 ,,,,5300,,,,
334,,,XL,300 x 110 ,,,,6620,,,,
335,,,,,,,,,,,,
336,,,,,,,,,,,,
337,,,Prices above are with a steel base with a standard finish:,,,,,,,,,
338,,,,,,,,,,,,
339,,,,,,,,,,,,
340,,,Additional cost for base in a specialist finish:,,,,,,760,,,
341,,,,,,,,,,,,
342,,,Additional cost for base made in Bronze:,,,,,,3110,,,
343,,,,,,,,,,,,
344,,,,,,,,,,,,
345,,,,,,,,,,,,
346,,,,,,,,,,,,
347,,,,,,,,,,,,
348,,,,,,,,,,,,
349,,,,,,,,,,,,
350,Edge wood or marble top ,,,,,,,,,,,
351, Rectangular,,Size ,Dimensions,,,,Wood top,Marble top ,,,
352,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
353,,,S,190 x 100,,,,5810,7610,,,
354,,,M,220 x 100  ,,,,6680,8750,,,
355,,,L,250 x 100 ,,,,7680,10060,,,
356,,,XL,300 x 110 ,,,,9600,12570,,,
357,,,,,,,,,,,,
358,,,,,,,,,,,,
359,,,Prices above are with a steel base with a standard finish,,,,,,,,,
360,,,,,,,,,,,,
361,,,,,,,,,,,,
362,,,Additional cost for base in a specialist finish:,,,,,,760,,,
363,,,,,,,,,,,,
364,,,Additional cost for base made in Bronze:,,,,,,3110,,,
365,,,,,,,,,,,,
366,Exe glass top single pedestal,,,,,,,,,,,
367,Oval,,Size ,Dimensions,,,, Glass Top ,,,,
368,,,,CMs (H75),,,,,,,,
369,,,S,190 x110,,,,4910,,,,
370,,,M,220 x 120,,,,5650,,,,
371,,,L,250 x 120,,,,6490,,,,
372,,,XL,300 x 140,,,,8110,,,,
373,,,,,,,,,,,,
374,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
375,,,,,,,,,,,,
376,,,Additional cost for base in a specialist finish:,,,,,,840,,,
377,,,,,,,,,,,,
378,,,,,,,,,,,,
379,,,,,,,,,,,,
380,Exe wood top single pedestal,,,,,,,,,,,
381,Oval,,Size ,Dimensions,,,,Wood Top ,,,,
382,,,,CMs (H75),,,,,,,,
383,,,S,190 x110,,,,7110,,,,
384,,,M,220 x 120,,,,8180,,,,
385,,,L,250 x 120,,,,9410,,,,
386,,,XL,300 x 140,,,,11750,,,,
387,,,,,,,,,,,,
388,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
389,,,,,,,,,,,,
390,,,Additional cost for base in a specialist finish:,,,,,,840,,,
391,,,,,,,,,,,,
392,,,,,,,,,,,,
393,Exe glass top double pedestal,,,,,,,,,,,
394, Rectangular,,Size ,Dimensions,,,, Glass Top ,,,,
395,,,,CMs (H75),,,,,,,,
396,,,S,190 x 100,,,,4510,,,,
397,,,M,220 x 100  ,,,,5180,,,,
398,,,L,250 x 100 ,,,,5960,,,,
399,,,XL,300 x 110 ,,,,7450,,,,
400,,,,,,,,,,,,
401,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
402,,,,,,,,,,,,
403,,,Additional cost for base in a specialist finish:,,,,,,840,,,
404,,,,,,,,,,,,
405,,,,,,,,,,,,
406,Exe wood top double pedestal,,,,,,,,,,,
407, Rectangular,,Size ,Dimensions,,,,Wood Top,,,,
408,,,,CMs (H75),,,,,,,,
409,,,S,190 x 100,,,,6530,,,,
410,,,M,220 x 100  ,,,,7510,,,,
411,,,L,250 x 100 ,,,,8640,,,,
412,,,XL,300 x 110 ,,,,10800,,,,
413,,,,,,,,,,,,
414,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
415,,,,,,,,,,,,
416,,,Additional cost for base in a specialist finish:,,,,,,840,,,
417,,,,,,,,,,,,
418,,,,,,,,,,,,
419,Exe glass top single pedestal,,,,,,,,,,,
420, Rectangular,,Size ,Dimensions,,,,Glass Top,,,,
421,,,,CMs (H75),,,,,,,,
422,,,S,190 x 100,,,,4510,,,,
423,,,M,220 x 100  ,,,,5180,,,,
424,,,L,250 x 100 ,,,,5960,,,,
425,,,XL,300 x 110 ,,,,7450,,,,
426,,,,,,,,,,,,
427,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
428,,,,,,,,,,,,
429,,,Additional cost for base in a specialist finish:,,,,,,840,,,
430,,,,,,,,,,,,
431,,,,,,,,,,,,
432,,,,,,,,,,,,
433,,,,,,,,,,,,
434,,,,,,,,,,,,
435,Exe wood top single pedestal,,,,,,,,,,,
436, Rectangular,,Size ,Dimensions,,,,Wood Top,,,,
437,,,,CMs (H75),,,,,,,,
438,,,S,190 x 100,,,,6530,,,,
439,,,M,220 x 100  ,,,,7510,,,,
440,,,L,250 x 100 ,,,,8640,,,,
441,,,XL,300 x 110 ,,,,10800,,,,
442,,,,,,,,,,,,
443,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
444,,,,,,,,,,,,
445,,,Additional cost for base in a specialist finish:,,,,,,840,,,
446,,,,,,,,,,,,
447,,,,,,,,,,,,
448,,,,,,,,,,,,
449,,,,,,,,,,,,
450,,,,,,,,,,,,
451,,,,,,,,,,,,
452,,,,,,,,,,,,
453,,,,,,,,,,,,
454,Papillon,,,,,,,,,,,
455,Round,,Size ,Dimensions ,,,,Glass Top,Wood Top,Marble Top ,,
456,,,,CMs (H75),,,,,,(excluding Calacatta Oro/Limurian Blue),,
457,,,S,100 D,,,,3510,5090,6660,,
458,,,M,120 D ,,,,4040,5850,7660,,
459,,,L,150 D,,,,5040,7310,9570,,
460,,,XL,170 D ,,,,5800,8400,11000,,
461,,,,,,,,,,,,
462,,,Prices above are with a steel base with a standard finish,,,,,,,,,
463,,,,,,,,,,,,
464,,,Additional cost for base in a specialist finish:,,,,,,850,,,
465,,,,,,,,,,,,
466,,,Additional cost for base in a Special Edition ,,,,,,,,,
467,,, 'Butterfly' finish:,,,,,,1780,,,
468,,,,,,,,,,,,
469,Papillon,,,,,,,,,,,
470,Oval single pedestal base,,Size ,Dimensions ,,,,Glass top ,Wood Top ,Marble Top ,,
471,,,,CMs (H75),,,,,,(excluding Calacatta oro/Limurian Blue),,
472,,,S,190 x110,,,,4910,7110,9320,,
473,,,M,220 x 120,,,,5650,8180,10720,,
474,,,L,250 x 120,,,,6490,9320,12320,,
475,,,XL,300 x 140,,,,8110,11750,15400,,
476,,,,,,,,,,,,
477,,,Prices above are with a steel base with a standard finish,,,,,,,,,
478,,,,,,,,,,,,
479,,,Additional cost for base in a specialist finish:,,,,,,850,,,
480,,,,,,,,,,,,
481,,,Additional cost for base in a Special Edition ,,,,,,,,,
482,,, 'Butterfly' finish:,,,,,,1780,,,
483,,,,,,,,,,,,
484,,,,,,,,,,,,
485,,,,,,,,,,,,
486,,,,,,,,,,,,
487,Papillon,,,,,,,,,,,
488,Lozenge-shaped,,Size ,Dimensions ,,,,Glass Top,Wood Top ,Marble Top ,,
489,,,,CMs (H75),,,,,,(excluding Calacatta oro/Limurian Blue),,
490,,,S,190 x110,,,,4910,7110,9320,,
491,,,M,220 x 120,,,,5650,8180,10720,,
492,,,L,250 x 120,,,,6490,9320,12320,,
493,,,XL,300 x 140,,,,8110,11750,15400,,
494,,,,,,,,,,,,
495,,,Prices above are with a steel base with a standard finish,,,,,,,,,
496,,,,,,,,,,,,
497,,,Additional cost for base in a specialist finish:,,,,,,1110,,,
498,,,,,,,,,,,,
499,,,Additional cost for base in a Special Edition ,,,,,,,,,
500,,, 'Butterfly' finish:,,,,,,3650,,,
501,,,,,,,,,,,,
502,,,,,,,,,,,,
503,Phoenix,,,,,,,,,,,
504,Round,,Size ,Dimensions ,,,,Glass Top,Wood Top ,Marble Top,,
505,,,,CMs (H75),,,,,,(excluding Calacatta oro/Limurian Blue),,
506,,,S,100 D,,,,3110,4500,5900,,
507,,,M,120 D,,,,3570,5180,6780,,
508,,,L,150 D,,,,4460,6470,8480,,
509,,,XL,170 D,,,,5130,7100,9750,,
510,,,,,,,,,,,,
511,,,Prices above are with a steel base with a standard finish,,,,,,,,,
512,,,,,,,,,,,,
513,,,Additional cost for base in a specialist finish:,,,,,,760,,,
514,,,,,,,,,,,,
515,,,Additional cost for base in Bronze:,,,,,,2090,,,
516,,,,,,,,,,,,
517,Phoenix,,,,,,,,,,,
518,Rectangular,,Size ,Dimensions ,,,,Wood Top,Marble Top ,,,
519,,,,CMs (H75),,,,(barrel shape with chamfered edge),,,,
520,,,M,220 x 110  ,,,,8510,10210,,,
521,,,L,250 x 120 ,,,,10640,12770,,,
522,,,XL,300 x 120 ,,,,12230,14680,,,
523,,,,,,,,,,,,
524,,,Prices above are with a steel base with a standard finish,,,,,,,,,
525,,,,,,,,,,,,
526,,,Additional cost for base in a specialist finish:,,,,,,1210,,,
527,,,,,,,,,,,,
528,,,Additional cost for base in Bronze:,,,,,,3150,,,
529,Vienna,,,,,,,,,,,
530, Rectangular,,Size ,Dimensions ,,,,Wood Top,,,,
531,,,,CMs (H75),,,,(barrel shape with rolled edge),,,,
532,,,S,190 x 100,,,,7030,,,,
533,,,M,220 x 110  ,,,,7920,,,,
534,,,L,250 x 120 ,,,,9290,,,,
535,,,XL,300 x 120 ,,,,11620,,,,
536,,,,,,,,,,,,
537,,,,,,,,,,,,
538,,,Prices above are with a steel base with a standard finish,,,,,,,,,
539,,,,,,,,,,,,
540,,,Additional cost for base in a specialist finish:,,,,,,1210,,,
541,     ,,,,,,,,,,,
