,model,shape,size,dimensions,height,price,top,top_1,top_2,top_3,notes,pad
150,,,Additional cost for base in a specialist finish:,,,,,,1380,,,
151,,,,,,,,,,,,
152,,,Additional cost for base in bronze:,,,,,,4780,,,
153,,,,,,,,,,,,
154,,,,,,,,,,,,
155,,,,,,,,,,,,
156,Avalon wood or marble top ,,,,,,,,,,,
157, Rectangular,,Size ,Dimensions,,,,Wood Top ,Marble Top ,,,
158,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
159,,,S,190 x 100,,,,8920,11690,,,
160,,,M,220 x 100  ,,,,10260,13440,,,
161,,,L,250 x 100 ,,,,11490,15450,,,
162,,,XL,300 x 110,,,,14750,19320,,,
163,,,,,,,,,,,,
164,,,Prices above are for a steel base with a standard finish ,,,,,,,,,
165,,,,,,,,,,,,
166,,,,,,,,,,,,
167,,,,,,,,,,,,
168,,,Additional cost for base in a specialist finish:,,,,,,1380,,,
169,,,,,,,,,,,,
170,,,Additional cost for base in bronze:,,,,,,4780,,,
171,,,,,,,,,,,,
172,Avebury wood or marble top,,,,,,,,,,,
173,Oval,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
174,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
175,,,S,190 x 110,,,,9920,12990,,,
176,,,M,220 x 120,,,,11410,14940,,,
177,,,L,250 x 120 ,,,,13120,17170,,,
178,,,XL,300 x 140,,,,16390,21470,,,
179,,,,,,,,,,,,
180,,,Prices above are with a steel base with a standard finish,,,,,,,,,
181,,,,,,,,,,,,
182,,,,,,,,,,,,
183,,,Additional cost for base in specialist finish:,,,,,,870,,,
184,,,,,,,,,,,,
185,,,,,,,,,,,,
186,,,Additional cost for base in bronze:,,,,,,3580,,,
187,,,,,,,,,,,,
188,,,,,,,,,,,,
189,Capricorn glass top,,,,,,,,,,,
190, Rectangular,,Size ,Dimensions,,,, Glass Top,,,,
191,,,,CMs (H75),,,,,,,,
192,,,S,190 x 100,,,,6160,,,,
193,,,M,220 x 100  ,,,,7080,,,,
194,,,L,250 x 100 ,,,,8140,,,,
195,,,XL,300 x 110 ,,,,9780,,,,
196,,,,,,,,,,,,
197,,,Prices above are with a steel base with a standard finish,,,,,,,,,
198,,,,,,,,,,,,
199,,,,,,,,,,,,
200,,,Additional cost for base in a specialist finish:,,,,,,,960,,
201,,,,,,,,,,,,
202,,,,,,,,,,,,
203,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,3370,,
204,,,,,,,,,,,,
205,,,,,,,,,,,,
206,,,"Add. cost for a steel, brass or bronze top plate: ",,,,,,,810,,
207,Capricorn wood or marble top ,,,,,,,,,,,
208, Rectangular,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
209,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
210,,,S,190 x 100,,,,8920,11690,,,
211,,,M,220 x 100  ,,,,10260,13440,,,
212,,,L,250 x 100 ,,,,11800,15450,,,
213,,,XL,300 x 110 ,,,,14750,19320,,,
214,,,,,,,,,,,,
215,,,Prices above are with a steel base with a standard finish,,,,,,,,,
216,,,,,,,,,,,,
217,,,,,,,,,,,,
218,,,Additional cost for base in a specialist finish:,,,,,,,960,,
219,,,,,,,,,,,,
220,,,,,,,,,,,,
221,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,3370,,
222,,,,,,,,,,,,
223,,,,,,,,,,,,
224,Capricorn glass top ,,,,,,,,,,,
225,Oval ,,Size ,Dimensions,,,, Glass Top,  ,,,
226,,,,CMs (H75),,,,,,,,
227,,,S,190 x110,,,,6710,,,,
228,,,M,220 x 120,,,,7710,,,,
229,,,L,250 x 120,,,,8860,,,,
230,,,XL,300 x 140,,,,11080,,,,
231,,,,,,,,,,,,
232,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
233,,,,,,,,,,,,
234,,,,,,,,,,,,
235,,,Additional cost for base in a specialist finish:,,,,,,,960,,
236,,,,,,,,,,,,
237,,,,,,,,,,,,
238,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,3370,,
239,,,,,,,,,,,,
240,,,"Add. cost for a steel, brass or bronze top plate: ",,,,,,,810,,
241,,,,,,,,,,,,
242,,,,,,,,,,,,
243,Capricorn wood or marble top ,,,,,,,,,,,
244,Oval ,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
245,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
246,,,S,190 x110,,,,9720,12730,,,
247,,,M,220 x 120,,,,11180,14640,,,
248,,,L,250 x 120,,,,12850,16830,,,
249,,,XL,300 x 140,,,,16060,21040,,,
250,,,,,,,,,,,,
251,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
252,,,,,,,,,,,,
253,,,,,,,,,,,,
254,,,Additional cost for base in a specialist finish:,,,,,,,960,,
255,,,,,,,,,,,,
256,,,,,,,,,,,,
257,,,,,,,,,,,,
258,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,3370,,
259,Capricorn glass top ,,,,,,,,,,,
260, Round ,,Size ,Dimensions,,,, Glass Top,,,,
261,,,,CMs (H75),,,,,,,,
262,,,S,100 D ,,,,4240,,,,
263,,,M,120 D,,,,4880,,,,
264,,,L,150 D,,,,6100,,,,
265,,,XL,170 D ,,,,7010,,,,
266,,,,,,,,,,,,
267,,,Prices above are with a steel base with a standard finish,,,,,,,,,
268,,,,,,,,,,,,
269,,,,,,,,,,,,
270,,,Additional cost for base in a specialist finish:,,,,,,,960,,
271,,,,,,,,,,,,
272,,,,,,,,,,,,
273,,,Additional cost for base in Hand-polished Stainless Steel: ,,,,,,,3370,,
274,,,,,,,,,,,,
275,,,"Add. cost for a steel, brass or bronze top plate: ",,,,,,,810,,
276,,,,,,,,,,,,
277,Capricorn wood or marble top ,,,,,,,,,,,
278, Round ,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
279,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
280,,,S,100 D,,,,6150,8060,,,
281,,,M,120 D,,,,7080,9270,,,
282,,,L,150 D,,,,8840,11580,,,
283,,,XL,170 D ,,,,10160,13320,,,
284,,,,,,,,,,,,
285,,,Prices above are with a steel base with a standard finish,,,,,,,,,
286,,,,,,,,,,,,
287,,,,,,,,,,,,
288,,,Additional cost for base in a specialist finish:,,,,,,,960,,
289,,,,,,,,,,,,
290,,,,,,,,,,,,
291,,,Additional cost for base in Hand-polished Stainless Steel: ,,,,,,,3370,,
292,,,,,,,,,,,,
293,,,,,,,,,,,,
294,Echo glass top ,,,,,,,,,,,
295, Rectangular,,Size ,Dimensions,,,, Glass Top,,,,
296,,,,CMs (H75),,,,,,,,
297,,,S,190 x 100,,,,5480,,,,
298,,,M,220 x 100  ,,,,6300,,,,
299,,,L,250 x 100 ,,,,7240,,,,
300,,,XL,300 x 110 ,,,,9040,,,,
301,,,,,,,,,,,,
302,,,,,,,,,,,,
303,,,Prices above are with a steel base with a standard finish:,,,,,,,,,
304,,,,,,,,,,,,
305,,,Additional cost for base in a specialist finish:,,,,,,870,,,
306,,,,,,,,,,,,
307,,,,,,,,,,,,
308,Echo wood or marble top,,,,,,,,,,,
309, Rectangular,,Size ,Dimensions,,,,Wood top,Marble top ,,,
310,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
311,,,S,190 x 100,,,,7940,10390,,,
312,,,M,220 x 100  ,,,,9120,11950,,,
313,,,L,250 x 100 ,,,,10490,13740,,,
314,,,XL,300 x 110 ,,,,13110,17170,,,
315,,,,,,,,,,,,
316,,,,,,,,,,,,
317,,,Prices above are with a steel base with a standard finish:,,,,,,,,,
318,,,,,,,,,,,,
319,,,Additional cost for base in a specialist finish:,,,,,,870,,,
320,,,,,,,,,,,,
321,,,,,,,,,,,,
322,Edge,,,,,,,,,,,
323, Rectangular,,Size ,Dimensions,,,, Glass Top  ,,,,
324,,,,CMs (H75),,,,,,,,
325,,,S,190 x 100,,,,5480,,,,
326,,,M,220 x 100  ,,,,6300,,,,
327,,,L,250 x 100 ,,,,7240,,,,
328,,,XL,300 x 110 ,,,,9040,,,,
329,,,,,,,,,,,,
330,,,,,,,,,,,,
331,,,Prices above are with a steel base with a standard finish,,,,,,,,,
332,,,,,,,,,,,,
333,,,,,,,,,,,,
334,,,Additional cost for base in a specialist finish:,,,,,,870,,,
335,,,,,,,,,,,,
336,,,Additional cost for base made in Bronze:,,,,,,3560,,,
337,,,,,,,,,,,,
338,,,,,,,,,,,,
339,,,,,,,,,,,,
340,,,,,,,,,,,,
341,,,,,,,,,,,,
342,,,,,,,,,,,,
343,,,,,,,,,,,,
344,,,,,,,,,,,,
345,,,,,,,,,,,,
346,,,,,,,,,,,,
347,Edge wood or marble top ,,,,,,,,,,,
348, Rectangular,,Size ,Dimensions,,,,Wood top,Marble top ,,,
349,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
350,,,S,190 x 100,,,,6660,8720,,,
351,,,M,220 x 100  ,,,,7650,10020,,,
352,,,L,250 x 100 ,,,,8800,11530,,,
353,,,XL,300 x 110 ,,,,10990,14400,,,
354,,,,,,,,,,,,
355,,,,,,,,,,,,
356,,,Prices above are with a steel base with a standard finish,,,,,,,,,
357,,,,,,,,,,,,
358,,,,,,,,,,,,
359,,,Additional cost for base in a specialist finish:,,,,,,870,,,
360,,,,,,,,,,,,
361,,,Additional cost for base made in Bronze:,,,,,,3560,,,
362,,,,,,,,,,,,
363,,,,,,,,,,,,
364,Exe glass top single pedestal,,,,,,,,,,,
365,Oval,,Size ,Dimensions,,,, Glass Top ,,,,
366,,,,CMs (H75),,,,,,,,
367,,,S,190 x110,,,,6710,,,,
368,,,M,220 x 120,,,,7710,,,,
369,,,L,250 x 120,,,,8860,,,,
370,,,XL,300 x 140,,,,11080,,,,
371,,,,,,,,,,,,
372,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
373,,,,,,,,,,,,
374,,,Additional cost for base in a specialist finish:,,,,,,1150,,,
375,,,,,,,,,,,,
376,,,,,,,,,,,,
377,,,,,,,,,,,,
378,,,,,,,,,,,,
379,Exe wood top single pedestal,,,,,,,,,,,
380,Oval,,Size ,Dimensions,,,,Wood Top ,,,,
381,,,,CMs (H75),,,,,,,,
382,,,S,190 x110,,,,9720,,,,
383,,,M,220 x 120,,,,11180,,,,
384,,,L,250 x 120,,,,12850,,,,
385,,,XL,300 x 140,,,,16060,,,,
386,,,,,,,,,,,,
387,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
388,,,,,,,,,,,,
389,,,Additional cost for base in a specialist finish:,,,,,,1150,,,
390,,,,,,,,,,,,
391,,,,,,,,,,,,
392,,,,,,,,,,,,
393,Exe glass top double pedestal,,,,,,,,,,,
394, Rectangular,,Size ,Dimensions,,,, Glass Top ,,,,
395,,,,CMs (H75),,,,,,,,
396,,,S,190 x 100,,,,6160,,,,
397,,,M,220 x 100  ,,,,7080,,,,
398,,,L,250 x 100 ,,,,8140,,,,
399,,,XL,300 x 110 ,,,,10170,,,,
400,,,,,,,,,,,,
401,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
402,,,,,,,,,,,,
403,,,Additional cost for base in a specialist finish:,,,,,,1150,,,
404,,,,,,,,,,,,
405,,,,,,,,,,,,
406,Exe wood top double pedestal,,,,,,,,,,,
407, Rectangular,,Size ,Dimensions,,,,Wood Top,,,,
408,,,,CMs (H75),,,,,,,,
409,,,S,190 x 100,,,,8920,,,,
410,,,M,220 x 100  ,,,,10260,,,,
411,,,L,250 x 100 ,,,,11800,,,,
412,,,XL,300 x 110 ,,,,14750,,,,
413,,,,,,,,,,,,
414,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
415,,,,,,,,,,,,
416,,,Additional cost for base in a specialist finish:,,,,,,1150,,,
417,Exe glass top single pedestal ,,,,,,,,,,,
418, Rectangular,,Size ,Dimensions,,,,Glass Top ,,,,
419,,,,CMs (H75),,,,,,,,
420,,,S,190 x 100,,,,5850,,,,
421,,,M,220 x 100  ,,,,6720,,,,
422,,,L,250 x 100 ,,,,7470,,,,
423,,,XL,300 x 110 ,,,,13560,,,,
424,,,,,,,,,,,,
425,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
426,,,,,,,,,,,,
427,,,Additional cost for base in a specialist finish:,,,,,,1530,,,
428,,,,,,,,,,,,
429,,,,,,,,,,,,
430,,,,,,,,,,,,
431,,,,,,,,,,,,
432,Exe wood top single pedestal,,,,,,,,,,,
433, Rectangular,,Size ,Dimensions,,,,Wood Top,,,,
434,,,,CMs (H75),,,,,,,,
435,,,S,190 x 100,,,,8920,,,,
436,,,M,220 x 100  ,,,,10260,,,,
437,,,L,250 x 100 ,,,,11800,,,,
438,,,XL,300 x 110 ,,,,14750,,,,
439,,,,,,,,,,,,
440,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
441,,,,,,,,,,,,
442,,,Additional cost for base in a specialist finish:,,,,,,1150,,,
443,,,,,,,,,,,,
444,,,,,,,,,,,,
445,,,,,,,,,,,,
446,Papillon,,,,,,,,,,,
447,Round,,Size ,Dimensions ,,,,Glass Top,Wood Top,Marble Top ,,
448,,,,CMs (H75),,,,,,(Excluding Calacatta oro/Llimurian Blue),,
449,,,S,100 D,,,,4790,6950,9100,,
450,,,M,120 D,,,,5510,7990,10460,,
451,,,L,150 D,,,,6890,9980,13070,,
452,,,XL,170 D ,,,,7920,11480,15030,,
453,,,,,,,,,,,,
454,,,,,,,,,,,,
455,,,Prices above are with a steel base with a standard finish,,,,,,,,,
456,,,,,,,,,,,,
457,,,Additional cost for base in a specialist finish:,,,,,,970,,,
458,,,,,,,,,,,,
459,,,Additional cost for base in a Special Edition ,,,,,,,,,
460,,, 'Butterfly' finish:,,,,,,2040,,,
461,,,,,,,,,,,,
462,,,,,,,,,,,,
463,Papillon,,,,,,,,,,,
464,Oval single pedestal base,,Size ,Dimensions ,,,,Glass top,Wood Top ,Marble Top ,,
465,,,,CMs (H75),,,,,,(excluding Calacatta oro/Limurian Blue),,
466,,,S,190 x110,,,,6710,9720,12730,,
467,,,M,220 x 120,,,,7710,11180,14640,,
468,,,L,250 x 120,,,,8860,12730,16830,,
469,,,XL,300 x 140,,,,11080,16060,21040,,
470,,,,,,,,,,,,
471,,,Prices above are with a steel base with a standard finish,,,,,,,,,
472,,,,,,,,,,,,
473,,,Additional cost for base in a specialist finish:,,,,,,970,,,
474,,,,,,,,,,,,
475,,,Additional cost for base in a Special Edition ,,,,,,,,,
476,,, 'Butterfly' finish:,,,,,,2040,,,
477,,,,,,,,,,,,
478,,,,,,,,,,,,
479,,,,,,,,,,,,
480,,,,,,,,,,,,
481,,,,,,,,,,,,
482,,,,,,,,,,,,
483,,,,,,,,,,,,
484,,,,,,,,,,,,
485,,,,,,,,,,,,
486,,,,,,,,,,,,
487,Papillon,,,,,,,,,,,
488,Lozenge-shaped,,Size ,Dimensions ,,,,Glass Top,Wood Top ,Marble Top ,,
489,,,,CMs (H75),,,,,,(excluding Calacatta oro/Limurian Blue),,
490,,,S,190 x110,,,,5630,8150,10680,,
491,,,M,220 x 120,,,,6470,9370,12280,,
492,,,L,250 x 120,,,,7430,10680,14110,,
493,,,XL,300 x 140,,,,9290,13460,17640,,
494,,,,,,,,,,,,
495,,,Prices above are with a steel base with a standard finish,,,,,,,,,
496,,,,,,,,,,,,
497,,,Additional cost for base in a specialist finish:,,,,,,1270,,,
498,,,,,,,,,,,,
499,,,Additional cost for base in a Special Edition ,,,,,,,,,
500,,, 'Butterfly' finish:,,,,,,4180,,,
501,,,,,,,,,,,,
502,,,,,,,,,,,,
503,Phoenix,,,,,,,,,,,
504,Round,,Size ,Dimensions ,,,,Glass Top,Wood Top ,Marble Top,,
505,,,,CMs (H75),,,,,,(excluding Calacatta oro/Limurian Blue),,
506,,,S,100 D,,,,4240,6150,8060,,
507,,,M,120 D,,,,4880,7080,9270,,
508,,,L,150 D,,,,6100,8840,11580,,
509,,,XL,170 D,,,,7010,9700,13320,,
510,,,,,,,,,,,,
511,,,Prices above are with a steel base with a standard finish,,,,,,,,,
512,,,,,,,,,,,,
513,,,Additional cost for base in a specialist finish:,,,,,,1380,,,
514,,,,,,,,,,,,
515,,,Additional cost for base in Bronze:,,,,,,2390,,,
516,,,,,,,,,,,,
517,,,,,,,,,,,,
518,Phoenix,,,,,,,,,,,
519,Rectangular,,Size ,Dimensions ,,,,Wood Top,Marble Top ,,,
520,,,,CMs (H75),,,,(barrel shape with chamfered edge),,,,
521,,,M,220 x 110  ,,,,11630,13950,,,
522,,,L,250 x 120 ,,,,14540,17440,,,
523,,,XL,300 x 120 ,,,,16710,20050,,,
524,,,,,,,,,,,,
525,,,Prices above are with a steel base with a standard finish,,,,,,,,,
526,,,,,,,,,,,,
527,,,Additional cost for base in a specialist finish:,,,,,,2190,,,
528,,,,,,,,,,,,
529,,,Additional cost for base in Bronze:,,,,,,3610,,,
530,,,,,,,,,,,,
531,,,,,,,,,,,,
532,,,,,,,,,,,,
533,Vienna,,,,,,,,,,,
534, Rectangular,,Size ,Dimensions ,,,,Wood Top,,,,
535,,,,CMs (H75),,,,(barrel shape with rolled edge),,,,
536,,,S,190 x 100,,,,9600,,,,
537,,,M,220 x 110  ,,,,10810,,,,
538,,,L,250 x 120 ,,,,12700,,,,
539,,,XL,300 x 120 ,,,,15880,,,,
540,,,,,,,,,,,,
541,,,,,,,,,,,,
542,,,Prices above are with a steel base with a standard finish,,,,,,,,,
543,,,,,,,,,,,,
544,,,Additional cost for base in a specialist finish:,,,,,,1380,,,
545,     ,,,,,,,,,,,
546,,,,,,,,,,,,
