,model,shape,size,dimensions,height,price,top,top_1,top_2,top_3,notes,pad
151,,,,,,,,,,,,
152,,,Additional cost for base in a specialist finish:,,,,,,2190,,,
153,,,,,,,,,,,,
154,,,,,,,,,,,,
155,,,Additional cost for base in bronze:,,,,,,7590,,,
156,,,,,,,,,,,,
157,Avalon wood or marble top ,,,,,,,,,,,
158, Rectangular,,Size ,Dimensions,,,,Wood Top ,Marble Top ,,,
159,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
160,,,S,190 x 100,,,,11900,15590,,,
161,,,M,220 x 100  ,,,,13680,17920,,,
162,,,L,250 x 100 ,,,,15320,20600,,,
163,,,XL,300 x 110,,,,19660,25760,,,
164,,,,,,,,,,,,
165,,,Prices above are for a steel base with a standard finish ,,,,,,,,,
166,,,,,,,,,,,,
167,,,,,,,,,,,,
168,,,Additional cost for base in a specialist finish:,,,,,,2190,,,
169,,,,,,,,,,,,
170,,,Additional cost for base in bronze:,,,,,,7590,,,
171,,,,,,,,,,,,
172,Avebury wood or marble top,,,,,,,,,,,
173,Oval,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
174,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
175,,,S,190 x 110,,,,13230,17320,,,
176,,,M,220 x 120,,,,15210,19920,,,
177,,,L,250 x 120 ,,,,17500,22900,,,
178,,,XL,300 x 140,,,,21850,28620,,,
179,,,,,,,,,,,,
180,,,Prices above are with a steel base with a standard finish,,,,,,,,,
181,,,,,,,,,,,,
182,,,,,,,,,,,,
183,,,Additional cost for base in specialist finish:,,,,,,1380,,,
184,,,,,,,,,,,,
185,,,,,,,,,,,,
186,,,Additional cost for base in bronze:,,,,,,4950,,,
187,,,,,,,,,,,,
188,,,,,,,,,,,,
189,Capricorn glass top,,,,,,,,,,,
190, Rectangular,,Size ,Dimensions,,,, Glass Top,,,,
191,,,,CMs (H75),,,,,,,,
192,,,S,190 x 100,,,,8210,,,,
193,,,M,220 x 100  ,,,,9430,,,,
194,,,L,250 x 100 ,,,,10860,,,,
195,,,XL,300 x 110 ,,,,13040,,,,
196,,,,,,,,,,,,
197,,,Prices above are with a steel base with a standard finish,,,,,,,,,
198,,,,,,,,,,,,
199,,,,,,,,,,,,
200,,,Additional cost for base in a specialist finish:,,,,,,,1530,,
201,,,,,,,,,,,,
202,,,,,,,,,,,,
203,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,5360,,
204,,,,,,,,,,,,
205,,,,,,,,,,,,
206,,,"Add. cost for a steel, brass or bronze top plate: ",,,,,,,1280,,
207,,,,,,,,,,,,
208,,,,,,,,,,,,
209,,,,,,,,,,,,
210,Capricorn wood or marble top ,,,,,,,,,,,
211, Rectangular,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
212,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
213,,,S,190 x 100,,,,11900,15590,,,
214,,,M,220 x 100  ,,,,13680,17920,,,
215,,,L,250 x 100 ,,,,15740,20600,,,
216,,,XL,300 x 110 ,,,,19660,25760,,,
217,,,,,,,,,,,,
218,,,Prices above are with a steel base with a standard finish,,,,,,,,,
219,,,,,,,,,,,,
220,,,,,,,,,,,,
221,,,Additional cost for base in a specialist finish:,,,,,,,1530,,
222,,,,,,,,,,,,
223,,,,,,,,,,,,
224,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,5360,,
225,,,,,,,,,,,,
226,Capricorn glass top ,,,,,,,,,,,
227,Oval ,,Size ,Dimensions,,,, Glass Top,  ,,,
228,,,,CMs (H75),,,,,,,,
229,,,S,190 x110,,,,8940,,,,
230,,,M,220 x 120,,,,10280,,,,
231,,,L,250 x 120,,,,11820,,,,
232,,,XL,300 x 140,,,,14770,,,,
233,,,,,,,,,,,,
234,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
235,,,,,,,,,,,,
236,,,,,,,,,,,,
237,,,Additional cost for base in a specialist finish:,,,,,,,1530,,
238,,,,,,,,,,,,
239,,,,,,,,,,,,
240,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,5360,,
241,,,,,,,,,,,,
242,,,"Add. cost for a steel, brass or bronze top plate: ",,,,,,,1280,,
243,,,,,,,,,,,,
244,,,,,,,,,,,,
245,Capricorn wood or marble top ,,,,,,,,,,,
246,Oval ,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
247,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
248,,,S,190 x110,,,,12950,16970,,,
249,,,M,220 x 120,,,,14900,19520,,,
250,,,L,250 x 120,,,,17130,22440,,,
251,,,XL,300 x 140,,,,21410,28050,,,
252,,,,,,,,,,,,
253,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
254,,,,,,,,,,,,
255,,,,,,,,,,,,
256,,,Additional cost for base in a specialist finish:,,,,,,,1530,,
257,,,,,,,,,,,,
258,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,5360,,
259,,,,,,,,,,,,
260,,,,,,,,,,,,
261,,,,,,,,,,,,
262,Capricorn glass top ,,,,,,,,,,,
263, Round ,,Size ,Dimensions,,,, Glass Top,,,,
264,,,,CMs (H75),,,,,,,,
265,,,S,100 D ,,,,5650,,,,
266,,,M,120 D,,,,6500,,,,
267,,,L,150 D,,,,8130,,,,
268,,,XL,170 D ,,,,9340,,,,
269,,,,,,,,,,,,
270,,,Prices above are with a steel base with a standard finish,,,,,,,,,
271,,,,,,,,,,,,
272,,,,,,,,,,,,
273,,,Additional cost for base in a specialist finish:,,,,,,,1530,,
274,,,,,,,,,,,,
275,,,,,,,,,,,,
276,,,Additional cost for base in Hand-polished Stainless Steel: ,,,,,,,5360,,
277,,,,,,,,,,,,
278,,,"Add. cost for a steel, brass or bronze top plate: ",,,,,,,1280,,
279,,,,,,,,,,,,
280,,,,,,,,,,,,
281,Capricorn wood or marble top ,,,,,,,,,,,
