,model,shape,size,dimensions,height,price,top,top_1,top_2,top_3,notes,pad
150,,,,,,,,,,,,
151,,,Additional cost for base in a specialist finish:,,,,,,1910,,,
152,,,,,,,,,,,,
153,,,Additional cost for base in bronze:,,,,,,6620,,,
154,,,glass bonded to a bronze plate,,,,,,,,,
155,Avalon wood or marble top ,,,,,,,,,,,
156, Rectangular,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
157,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
158,,,S,190 x 100 ,,,,10380,13600,,,
159,,,M,220 x 100  ,,,,11940,15640,,,
160,,,L,250 x 100 ,,,,13370,17980,,,
161,,,XL,300 x 110,,,,17160,22480,,,
162,,,,,,,,,,,,
163,,,Prices above are for a steel base with a standard finish ,,,,,,,,,
164,,,,,,,,,,,,
165,,,,,,,,,,,,
166,,,Additional cost for base in a specialist finish:,,,,,,1910,,,
167,,,,,,,,,,,,
168,,,Additional cost for base in bronze:,,,,,,6620,,,
169,,,,,,,,,,,,
170,Avebury wood or marble top,,,,,,,,,,,
171,Oval,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
172,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
173,,,S,190 x 110,,,,11540,15110,,,
174,,,M,220 x 120,,,,13270,17380,,,
175,,,L,250 x 120 ,,,,15266,19980,,,
176,,,XL,300 x 140,,,,19070,24980,,,
177,,,,,,,,,,,,
178,,,Prices above are with a steel base with a standard finish,,,,,,,,,
179,,,,,,,,,,,,
180,,,,,,,,,,,,
181,,,Additional cost for base in specialist finish:,,,,,,1200,,,
182,,,,,,,,,,,,
183,,,,,,,,,,,,
184,,,Additional cost for base in bronze:,,,,,,4960,,,
185,,,,,,,,,,,,
186,Capricorn glass top,,,,,,,,,,,
187, Rectangular,,Size ,Dimensions,,,, Glass Top,,,,
188,,,,CMs (H75),,,,,,,,
189,,,S,190 x 100,,,,7160,,,,
190,,,M,220 x 100  ,,,,8230,,,,
191,,,L,250 x 100 ,,,,9470,,,,
192,,,XL,300 x 110 ,,,,11380,,,,
193,,,,,,,,,,,,
194,,,Prices above are with a steel base with a standard finish,,,,,,,,,
195,,,,,,,,,,,,
196,,,,,,,,,,,,
197,,,Additional cost for base in a specialist finish:,,,,,,,1330,,
198,,,,,,,,,,,,
199,,,,,,,,,,,,
200,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,4670,,
201,,,,,,,,,,,,
202,,,,,,,,,,,,
203,,,"Add. cost for a steel, brass or bronze top plate: ",,,,,,,1110,,
204,,,,,,,,,,,,
205,,,,,,,,,,,,
206,,,,,,,,,,,,
207,,,,,,,,,,,,
208,,,,,,,,,,,,
209,Capricorn wood or marble top ,,,,,,,,,,,
210, Rectangular,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
211,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
212,,,S,190 x 100,,,,10380,13600,,,
213,,,M,220 x 100  ,,,,11940,15640,,,
214,,,L,250 x 100 ,,,,13730,17980,,,
215,,,XL,300 x 110 ,,,,17160,22480,,,
216,,,,,,,,,,,,
217,,,Prices above are with a steel base with a standard finish,,,,,,,,,
218,,,,,,,,,,,,
219,,,,,,,,,,,,
220,,,Additional cost for base in a specialist finish:,,,,,,,1330,,
221,,,,,,,,,,,,
222,,,,,,,,,,,,
223,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,4670,,
224,,,,,,,,,,,,
225,Capricorn glass top ,,,,,,,,,,,
226,Oval ,,Size ,Dimensions,,,, Glass Top,  ,,,
227,,,,CMs (H75),,,,,,,,
228,,,S,190 x110,,,,7800,,,,
229,,,M,220 x 120,,,,8970,,,,
230,,,L,250 x 120,,,,10310,,,,
231,,,XL,300 x 140,,,,12890,,,,
232,,,,,,,,,,,,
233,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
234,,,,,,,,,,,,
235,,,,,,,,,,,,
236,,,Additional cost for base in a specialist finish:,,,,,,,1330,,
237,,,,,,,,,,,,
238,,,,,,,,,,,,
239,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,4670,,
240,,,,,,,,,,,,
241,,,"Add. cost for a steel, brass or bronze top plate: ",,,,,,,1110,,
242,,,,,,,,,,,,
243,,,,,,,,,,,,
244,Capricorn wood or marble top ,,,,,,,,,,,
245,Oval ,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
246,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
247,,,S,190 x110,,,,11300,14810,,,
248,,,M,220 x 120,,,,13000,17030,,,
249,,,L,250 x 120,,,,14950,19580,,,
250,,,XL,300 x 140,,,,18680,24480,,,
251,,,,,,,,,,,,
252,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
253,,,,,,,,,,,,
254,,,,,,,,,,,,
255,,,Additional cost for base in a specialist finish:,,,,,,,1330,,
256,,,,,,,,,,,,
257,,,,,,,,,,,,
258,,,,,,,,,,,,
259,,,Additional cost for base in Hand-polished Stainless Steel:,,,,,,,4670,,
260,,,,,,,,,,,,
261,Capricorn glass top ,,,,,,,,,,,
262, Round ,,Size ,Dimensions,,,, Glass Top,,,,
263,,,,CMs (H75),,,,,,,,
264,,,S,100 D,,,,4930,,,,
265,,,M,120 D,,,,5670,,,,
266,,,L,150 D,,,,7090,,,,
267,,,XL,170 D,,,,8150,,,,
268,,,,,,,,,,,,
269,,,Prices above are with a steel base with a standard finish,,,,,,,,,
270,,,,,,,,,,,,
271,,,,,,,,,,,,
272,,,Additional cost for base in a specialist finish:,,,,,,,1330,,
273,,,,,,,,,,,,
274,,,,,,,,,,,,
275,,,Additional cost for base in Hand-polished Stainless Steel: ,,,,,,,4670,,
276,,,,,,,,,,,,
277,,,"Add. cost for a steel, brass or bronze top plate: ",,,,,,,1110,,
278,,,,,,,,,,,,
279,,,,,,,,,,,,
280,Capricorn wood or marble top ,,,,,,,,,,,
281, Round ,,Size ,Dimensions,,,,Wood Top,Marble Top,,,
282,,,,CMs (H75),,,,,(excluding Calacatta Oro/Limurian Blue),,,
283,,,S,100 D,,,,7150,9370,,,
284,,,M,120 D,,,,8230,10780,,,
285,,,L,150 D,,,,10280,13470,,,
